,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,276,"1,199","2,097","2,913","3,832","4,410","4,982","5,254","5,756","6,317","7,126","7,812","8,052","8,376","8,779","9,350"
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,123,524,915,"1,253","1,653","1,887","2,185","2,313","2,610","2,801","3,084","3,293","3,489","3,613","3,845","4,143"
         Department of Defense,788,836,860,925,861,831,"1,078","1,324","1,445","1,499","1,582","1,766","1,997","2,235","2,475","2,590","2,695","2,922","3,067","3,457","3,949","4,588","5,158","5,393","5,842","6,864","7,634","8,202","8,778","9,272","10,446","11,536","11,621","12,025","11,833","12,045","11,953","12,052","12,214","12,679","13,753","15,502","19,027","22,402","25,213","26,759","29,746","32,216","33,980","36,663","38,330","39,999","39,821","39,131"
         Department of Veterans Affairs,897,933,961,"1,015","1,058","1,119","1,153","1,268","1,344","1,484","1,719","1,983","2,291","2,646","2,900","3,381","4,066","4,146","4,859","5,073","5,740","6,261","6,905","7,396","8,070","8,332","8,775","9,236","9,629","10,134","10,939","11,852","12,594","13,621","14,612","14,840","15,567","15,488","16,333","17,509","19,082","21,083","22,782","26,517","27,951","29,802","31,861","33,848","38,353","42,396","46,063","48,877","50,620","53,439"
     Other Third Party Payers and Programs,"3,906","4,347","4,723","5,227","5,682","6,359","6,252","6,023","6,871","7,789","9,012","9,666","10,277","11,365","13,025","14,609","16,440","18,238","20,952","24,247","28,685","32,958","36,494","39,043","41,614","47,025","53,316","59,323","67,076","70,908","77,494","82,842","88,450","93,965","97,687","101,310","105,299","110,599","117,340","121,565","124,458","131,101","139,672","152,935","159,158","167,805","176,617","187,442","184,183","186,651","197,046","204,805","220,907","236,836"
         Worksite Health Care,64,68,74,81,90,99,112,132,150,174,200,221,250,285,331,377,452,534,621,723,829,954,"1,043","1,157","1,306","1,392","1,520","1,681","1,859","2,024","2,214","2,325","2,463","2,588","2,707","2,839","2,950","3,084","3,190","3,291","3,483","3,618","3,739","3,887","4,063","4,240","4,350","4,497","4,504","4,525","4,647","4,839","5,097","5,320"
         Other Private Revenues,310,346,384,441,509,595,689,805,"1,017","1,218","1,501","1,684","1,952","2,072","2,387","2,623","3,742","4,146","5,161","6,189","8,614","10,685","12,696","14,081","15,613","18,498","20,830","22,985","26,936","28,262","29,554","31,918","34,341","36,886","38,724","42,837","46,495","51,100","56,144","58,244","57,447","56,404","58,677","64,137","66,252","70,469","77,557","86,456","81,347","86,089","93,842","97,270","109,625","121,114"
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,197,255,307,375,412,448,509,506,559,645,721,713,757,806,798,996,"1,213","1,444","1,487","1,507","1,654","1,633","1,740","1,754","1,837","1,982","2,201","2,196","2,333","2,458","2,488","2,591","2,686","2,822","3,192","3,542","3,604","3,766","3,682"
         Workers' Compensation,615,644,705,742,807,870,991,"1,100","1,244","1,372","1,532","1,570","1,715","2,051","2,382","2,669","3,031","3,506","4,026","4,945","5,606","6,189","6,929","7,285","7,661","8,937","10,083","11,957","13,816","15,519","17,530","18,958","21,100","22,607","22,189","21,914","22,050","22,140","22,364","23,931","26,198","29,724","33,401","37,750","38,982","41,264","41,398","41,177","41,122","37,055","36,950","39,767","41,534","44,199"
         General Assistance,102,110,102,103,112,122,182,240,299,359,417,477,582,691,827,"1,000","1,131","1,281","1,358","1,548","1,899","2,226","2,437","2,649","2,875","3,189","3,422","3,552","3,742","4,138","5,032","5,187","5,531","5,037","5,451","5,437","5,414","5,167","4,928","3,874","3,940","4,819","5,138","5,591","5,904","6,195","6,721","6,928","7,146","7,155","7,071","6,669","6,423","6,687"
         Maternal/Child Health,116,172,180,201,220,244,291,324,377,435,409,453,482,467,525,565,619,665,701,775,864,879,935,"1,081","1,111","1,290","1,391","1,510","1,580","1,604","1,649","1,821","1,978","2,064","2,151","2,189","2,244","2,359","2,418","2,529","2,686","2,681","2,668","2,661","2,626","2,643","2,660","2,797","2,837","2,686","2,625","2,352","2,146","1,999"
                          Federal  ,27,44,48,50,60,80,114,142,167,190,148,191,234,204,243,276,297,311,330,339,344,339,343,398,348,407,395,433,459,476,478,518,565,578,594,587,580,582,588,603,609,619,636,634,635,622,598,600,594,591,591,583,562,545
                          State and Local,89,127,133,150,159,164,176,182,210,244,261,263,248,264,282,290,322,354,371,436,520,540,593,683,763,883,996,"1,078","1,121","1,128","1,171","1,303","1,413","1,485","1,558","1,602","1,664","1,777","1,830","1,926","2,077","2,062","2,032","2,027","1,992","2,022","2,062","2,196","2,243","2,095","2,034","1,769","1,584","1,454"
         Vocational Rehabilitation,20,22,25,29,33,41,58,88,115,131,155,180,184,190,202,210,210,219,220,224,223,229,233,246,257,262,270,289,300,308,318,332,343,338,360,360,352,367,378,389,421,449,463,469,468,461,498,497,489,518,558,552,530,523
                          Federal  ,12,14,15,18,20,27,42,66,86,100,121,140,144,149,158,164,163,170,168,171,170,172,172,183,195,200,207,223,232,238,246,257,264,253,271,271,263,276,286,293,317,342,355,359,361,355,377,373,374,398,436,432,411,405
                          State and Local,8,8,10,11,13,15,16,22,29,31,34,40,40,41,44,46,48,49,52,53,53,57,61,62,62,62,63,66,68,70,72,75,79,85,89,89,89,91,92,96,104,107,108,110,106,106,121,124,115,120,122,120,119,118
         Other Federal Programs*,337,447,598,715,750,831,653,463,489,621,927,"1,102",963,980,"1,086",695,823,854,948,"1,116","1,343","1,334","1,184","1,044","1,065","1,108","1,133","1,197","1,271","1,331","1,556","1,844","2,050","2,265","2,472","2,552","2,841","3,118","3,395","3,855","4,462","5,295","5,676","6,026","6,259","6,366","6,421","6,721","6,924","7,301","7,739","9,566","11,704","12,928"
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,569,537,581,689,663,825,799,636,599,607,515,533,644,884,698,"1,372","1,656","1,685","1,714","1,889","2,067","1,783","1,500","2,026","2,395","2,564","2,812","3,006","3,093","3,125","3,219","3,153","3,166","3,206","3,309","3,385","3,448","3,420","3,287"
         Other State and Local Programs**,"2,221","2,398","2,510","2,772","3,012","3,389","3,090","2,656","2,937","3,217","3,580","3,671","3,827","4,282","4,906","5,303","5,205","5,636","6,293","7,052","7,369","8,446","9,141","9,547","9,628","10,193","12,436","13,712","14,782","15,041","15,981","16,224","16,099","17,426","18,536","17,676","17,648","17,986","18,547","18,890","18,791","20,408","21,821","23,955","25,828","27,097","27,683","28,641","29,693","30,620","32,400","32,408","32,229","32,603"
         School Health,122,140,147,143,151,168,187,215,242,263,290,308,321,346,377,400,433,509,559,600,663,708,753,795,847,919,986,"1,040","1,099","1,185","1,293","1,363","1,416","1,553","1,701","1,785","1,890","2,037","2,197","2,330","2,483","2,689","2,888","3,032","3,193","3,363","3,585","3,875","4,093","4,202","4,287","4,331","4,433","4,496"
     Public Health Activity,371,409,456,509,572,621,733,861,969,"1,174","1,356","1,676","1,855","2,123","2,584","2,967","3,213","3,815","4,588","5,375","6,445","7,531","8,621","9,251","9,842","11,212","12,387","13,572","15,267","17,775","19,996","22,127","24,371","26,776","29,591","30,993","32,373","34,827","37,455","40,729","43,047","46,789","52,047","54,236","54,963","57,232","60,855","65,907","71,516","74,048","75,480","73,480","74,821","75,388"
                          Federal  ,102,108,140,208,226,214,294,401,470,564,594,791,893,854,969,"1,043","1,110","1,152","1,154","1,108","1,235","1,216","1,141","1,232","1,298","1,326","1,340","1,529","1,795","2,030","2,262","2,605","2,912","3,164","3,626","3,655","3,755","3,926","4,063","4,544","4,876","5,775","8,013","8,892","8,957","9,125","9,482","9,650","9,832","11,937","14,107","10,694","10,868","10,517"
                          State and Local,269,302,316,301,347,407,439,460,499,610,762,885,962,"1,269","1,615","1,924","2,104","2,663","3,434","4,267","5,210","6,316","7,480","8,019","8,544","9,886","11,047","12,043","13,472","15,745","17,734","19,522","21,459","23,613","25,964","27,338","28,618","30,901","33,392","36,185","38,170","41,013","44,035","45,344","46,006","48,107","51,373","56,257","61,683","62,111","61,373","62,786","63,953","64,871"
     Investment,"2,566","2,863","3,493","3,802","4,408","4,765","5,021","5,269","5,984","7,105","7,783","8,874","9,765","10,244","11,233","12,425","13,653","13,970","15,411","17,009","20,103","23,087","26,409","29,261","30,996","31,241","32,507","35,991","40,168","43,977","48,686","52,047","56,898","61,180","63,926","65,861","67,740","72,231","79,548","85,687","87,992","91,932","102,232","110,186","117,549","125,852","131,548","145,119","155,264","146,307","149,678","157,332","163,700","164,594"
         Research,694,886,"1,068","1,219","1,366","1,521","1,624","1,775","1,877","1,924","1,953","2,109","2,357","2,502","2,767","3,372","3,707","3,864","4,438","4,805","5,429","5,705","6,025","6,543","7,608","8,320","9,002","10,025","10,836","11,738","12,678","13,819","15,091","16,472","17,758","18,670","17,808","19,640","21,506","23,369","25,465","28,510","32,016","34,863","38,508","40,322","41,462","42,461","44,040","45,158","48,708","49,309","47,995","46,734"
         Structures & Equipment,"1,872","1,977","2,425","2,582","3,042","3,244","3,397","3,495","4,107","5,181","5,830","6,765","7,408","7,741","8,466","9,053","9,945","10,105","10,974","12,204","14,674","17,383","20,384","22,718","23,389","22,921","23,504","25,967","29,332","32,238","36,008","38,228","41,806","44,708","46,168","47,192","49,932","52,591","58,042","62,318","62,527","63,423","70,216","75,323","79,041","85,530","90,086","102,658","111,223","101,148","100,970","108,023","115,705","117,860"
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,"3,146","8,065","9,759","11,220","12,962","15,138","17,639","20,153","24,501","29,782","34,883","40,354","46,133","53,254","63,419","75,077","84,361","94,825","104,440","112,766","122,212","133,420","144,045","163,089","183,842","213,827","244,183","272,338","302,084","329,255","350,919","371,226","378,848","398,429","428,324","476,089","519,084","558,100","609,242","656,905","718,962","768,012","821,951","885,775","929,090","964,141","1,002,950","1,048,584"
POPULATION,186,189,192,195,197,200,202,204,206,208,210,213,215,217,218,220,222,224,226,228,230,233,235,237,239,242,244,246,248,251,254,257,260,263,266,269,271,274,277,280,282,285,288,290,293,295,298,301,304,307,309,311,313,315
A43+A44+A55+A71,"24,792","26,365","28,413","30,924","34,135","37,193","41,232","46,510","52,770","59,110","67,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Consumption Expenditures,"24,793","26,366","28,414","30,925","34,136","37,193","41,233","46,511","52,771","59,110","67,070","74,365","83,376","93,121","105,924","121,160","139,358","160,009","180,116","204,649","235,681","273,652","308,290","339,725","375,515","413,366","444,385","483,125","541,530","603,488","675,591","739,477","801,010","860,315","908,772","961,587","1,014,135","1,070,474","1,129,545","1,200,998","1,289,979","1,402,626","1,535,914","1,668,141","1,788,177","1,908,965","2,035,615","2,158,828","2,258,879","2,359,523","2,454,453","2,547,970","2,653,617","2,754,543"
     Out of pocket,"13,051","13,422","14,299","15,361","16,981","18,262","18,647","18,587","20,628","22,657","25,015","26,380","28,724","31,716","34,467","37,372","40,767","44,996","48,169","52,473","58,396","65,629","72,739","78,924","86,824","95,977","104,034","110,161","120,828","127,313","138,643","141,689","144,233","145,269","143,375","146,228","151,991","163,487","179,081","190,108","201,475","208,766","221,851","238,202","251,669","267,249","277,375","293,714","300,870","300,914","306,230","317,310","328,813","339,422"
     Health Insurance,"7,464","8,187","8,935","9,827","10,900","11,951","15,600","21,039","24,302","27,490","31,688","36,644","42,519","47,918","55,848","66,213","78,938","92,960","106,407","122,553","142,155","167,534","190,437","212,507","237,236","259,152","274,647","300,069","338,359","387,493","439,458","492,819","543,955","594,305","638,120","683,057","724,472","761,561","795,669","848,597","920,999","1,015,971","1,122,344","1,222,768","1,322,387","1,416,679","1,520,769","1,611,765","1,702,311","1,797,909","1,875,697","1,952,376","2,029,077","2,102,896"
          Private Health Insurance,"5,779","6,419","7,113","7,887","8,982","10,000","10,223","10,382","11,754","13,287","15,424","17,757","20,593","22,884","25,972","30,461","37,295","45,538","52,347","60,768","69,047","81,608","94,012","104,893","118,884","131,190","136,025","149,210","175,906","204,997","234,230","255,603","275,557","296,322","309,592","326,916","346,032","362,796","388,274","419,979","459,839","503,297","561,450","615,749","659,981","703,213","740,200","777,689","808,027","833,076","862,214","899,359","935,685","961,741"
          Medicare, -   , -   , -   , -   , -   , -   ,"1,842","4,924","6,218","7,045","7,672","8,443","9,325","10,730","13,428","16,336","19,694","22,891","26,668","30,922","37,387","44,769","52,351","59,559","66,207","71,829","76,829","83,081","88,965","101,137","110,182","120,617","135,996","149,965","167,670","184,393","198,750","210,376","209,420","213,173","224,829","247,686","265,381","282,699","311,158","339,800","403,731","432,837","467,066","499,723","519,899","544,678","566,629","585,701"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,"1,304","3,141","3,541","4,174","5,290","6,695","8,314","9,423","11,073","13,446","15,188","17,464","19,465","22,332","26,032","30,307","32,011","35,266","38,233","40,937","45,383","50,339","55,080","61,952","73,661","93,211","108,186","122,373","134,414","144,862","152,170","160,849","169,029","183,534","200,483","224,236","248,218","269,105","290,917","309,538","306,865","326,057","344,676","374,946","397,650","407,475","423,698","449,389"
                          Federal  , -   , -   , -   , -   , -   , -   ,632,"1,525","1,835","2,298","2,842","3,810","4,547","4,933","6,277","7,409","9,153","9,896","10,919","12,705","14,521","16,902","17,843","19,587","21,096","22,594","25,187","27,868","30,995","35,077","42,607","56,847","68,602","76,961","81,052","85,945","91,099","94,954","98,661","107,200","116,919","132,288","145,339","160,895","172,437","177,644","174,074","185,701","203,402","247,701","266,658","247,808","243,660","258,819"
                          State and Local, -   , -   , -   , -   , -   , -   ,672,"1,616","1,707","1,877","2,447","2,886","3,766","4,490","4,797","6,037","6,036","7,568","8,547","9,627","11,511","13,405","14,168","15,679","17,137","18,343","20,196","22,471","24,085","26,876","31,054","36,364","39,585","45,412","53,363","58,917","61,071","65,896","70,368","76,334","83,564","91,948","102,878","108,210","118,480","131,895","132,792","140,356","141,274","127,245","130,992","159,667","180,038","190,570"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,399,"1,723","3,012","4,167","5,485","6,296","7,167","7,566","8,366","9,117","10,210","11,106","11,541","11,988","12,624","13,493"
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,276,"1,199","2,097","2,913","3,832","4,410","4,982","5,254","5,756","6,317","7,126","7,812","8,052","8,376","8,779","9,350"
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,123,524,915,"1,253","1,653","1,887","2,185","2,313","2,610","2,801","3,084","3,293","3,489","3,613","3,845","4,143"
         Department of Defense,788,836,860,925,861,831,"1,078","1,324","1,445","1,499","1,582","1,766","1,997","2,235","2,475","2,590","2,695","2,922","3,067","3,457","3,949","4,588","5,158","5,393","5,842","6,864","7,634","8,202","8,778","9,272","10,446","11,536","11,621","12,025","11,833","12,045","11,953","12,052","12,214","12,679","13,753","15,502","19,027","22,402","25,213","26,759","29,746","32,216","33,980","36,663","38,330","39,999","39,821","39,131"
         Department of Veterans Affairs,897,933,961,"1,015","1,058","1,119","1,153","1,268","1,344","1,484","1,719","1,983","2,291","2,646","2,900","3,381","4,066","4,146","4,859","5,073","5,740","6,261","6,905","7,396","8,070","8,332","8,775","9,236","9,629","10,134","10,939","11,852","12,594","13,621","14,612","14,840","15,567","15,488","16,333","17,509","19,082","21,083","22,782","26,517","27,951","29,802","31,861","33,848","38,353","42,396","46,063","48,877","50,620","53,439"
     Other Third Party Payers and Programs,"3,906","4,347","4,723","5,227","5,682","6,359","6,252","6,023","6,871","7,789","9,012","9,666","10,277","11,365","13,025","14,609","16,440","18,238","20,952","24,247","28,685","32,958","36,494","39,043","41,614","47,025","53,316","59,323","67,076","70,908","77,494","82,842","88,450","93,965","97,687","101,310","105,299","110,599","117,340","121,565","124,458","131,101","139,672","152,935","159,158","167,805","176,617","187,442","184,183","186,651","197,046","204,805","220,907","236,836"
         Worksite Health Care,64,68,74,81,90,99,112,132,150,174,200,221,250,285,331,377,452,534,621,723,829,954,"1,043","1,157","1,306","1,392","1,520","1,681","1,859","2,024","2,214","2,325","2,463","2,588","2,707","2,839","2,950","3,084","3,190","3,291","3,483","3,618","3,739","3,887","4,063","4,240","4,350","4,497","4,504","4,525","4,647","4,839","5,097","5,320"
         Other Private Revenues,310,346,384,441,509,595,689,805,"1,017","1,218","1,501","1,684","1,952","2,072","2,387","2,623","3,742","4,146","5,161","6,189","8,614","10,685","12,696","14,081","15,613","18,498","20,830","22,985","26,936","28,262","29,554","31,918","34,341","36,886","38,724","42,837","46,495","51,100","56,144","58,244","57,447","56,404","58,677","64,137","66,252","70,469","77,557","86,456","81,347","86,089","93,842","97,270","109,625","121,114"
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,197,255,307,375,412,448,509,506,559,645,721,713,757,806,798,996,"1,213","1,444","1,487","1,507","1,654","1,633","1,740","1,754","1,837","1,982","2,201","2,196","2,333","2,458","2,488","2,591","2,686","2,822","3,192","3,542","3,604","3,766","3,682"
         Workers' Compensation,615,644,705,742,807,870,991,"1,100","1,244","1,372","1,532","1,570","1,715","2,051","2,382","2,669","3,031","3,506","4,026","4,945","5,606","6,189","6,929","7,285","7,661","8,937","10,083","11,957","13,816","15,519","17,530","18,958","21,100","22,607","22,189","21,914","22,050","22,140","22,364","23,931","26,198","29,724","33,401","37,750","38,982","41,264","41,398","41,177","41,122","37,055","36,950","39,767","41,534","44,199"
         General Assistance,102,110,102,103,112,122,182,240,299,359,417,477,582,691,827,"1,000","1,131","1,281","1,358","1,548","1,899","2,226","2,437","2,649","2,875","3,189","3,422","3,552","3,742","4,138","5,032","5,187","5,531","5,037","5,451","5,437","5,414","5,167","4,928","3,874","3,940","4,819","5,138","5,591","5,904","6,195","6,721","6,928","7,146","7,155","7,071","6,669","6,423","6,687"
         Maternal/Child Health,116,172,180,201,220,244,291,324,377,435,409,453,482,467,525,565,619,665,701,775,864,879,935,"1,081","1,111","1,290","1,391","1,510","1,580","1,604","1,649","1,821","1,978","2,064","2,151","2,189","2,244","2,359","2,418","2,529","2,686","2,681","2,668","2,661","2,626","2,643","2,660","2,797","2,837","2,686","2,625","2,352","2,146","1,999"
                          Federal  ,27,44,48,50,60,80,114,142,167,190,148,191,234,204,243,276,297,311,330,339,344,339,343,398,348,407,395,433,459,476,478,518,565,578,594,587,580,582,588,603,609,619,636,634,635,622,598,600,594,591,591,583,562,545
                          State and Local,89,127,133,150,159,164,176,182,210,244,261,263,248,264,282,290,322,354,371,436,520,540,593,683,763,883,996,"1,078","1,121","1,128","1,171","1,303","1,413","1,485","1,558","1,602","1,664","1,777","1,830","1,926","2,077","2,062","2,032","2,027","1,992","2,022","2,062","2,196","2,243","2,095","2,034","1,769","1,584","1,454"
         Vocational Rehabilitation,20,22,25,29,33,41,58,88,115,131,155,180,184,190,202,210,210,219,220,224,223,229,233,246,257,262,270,289,300,308,318,332,343,338,360,360,352,367,378,389,421,449,463,469,468,461,498,497,489,518,558,552,530,523
                          Federal  ,12,14,15,18,20,27,42,66,86,100,121,140,144,149,158,164,163,170,168,171,170,172,172,183,195,200,207,223,232,238,246,257,264,253,271,271,263,276,286,293,317,342,355,359,361,355,377,373,374,398,436,432,411,405
                          State and Local,8,8,10,11,13,15,16,22,29,31,34,40,40,41,44,46,48,49,52,53,53,57,61,62,62,62,63,66,68,70,72,75,79,85,89,89,89,91,92,96,104,107,108,110,106,106,121,124,115,120,122,120,119,118
         Other Federal Programs*,337,447,598,715,750,831,653,463,489,621,927,"1,102",963,980,"1,086",695,823,854,948,"1,116","1,343","1,334","1,184","1,044","1,065","1,108","1,133","1,197","1,271","1,331","1,556","1,844","2,050","2,265","2,472","2,552","2,841","3,118","3,395","3,855","4,462","5,295","5,676","6,026","6,259","6,366","6,421","6,721","6,924","7,301","7,739","9,566","11,704","12,928"
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,569,537,581,689,663,825,799,636,599,607,515,533,644,884,698,"1,372","1,656","1,685","1,714","1,889","2,067","1,783","1,500","2,026","2,395","2,564","2,812","3,006","3,093","3,125","3,219","3,153","3,166","3,206","3,309","3,385","3,448","3,420","3,287"
         Other State and Local Programs**,"2,221","2,398","2,510","2,772","3,012","3,389","3,090","2,656","2,937","3,217","3,580","3,671","3,827","4,282","4,906","5,303","5,205","5,636","6,293","7,052","7,369","8,446","9,141","9,547","9,628","10,193","12,436","13,712","14,782","15,041","15,981","16,224","16,099","17,426","18,536","17,676","17,648","17,986","18,547","18,890","18,791","20,408","21,821","23,955","25,828","27,097","27,683","28,641","29,693","30,620","32,400","32,408","32,229","32,603"
         School Health,122,140,147,143,151,168,187,215,242,263,290,308,321,346,377,400,433,509,559,600,663,708,753,795,847,919,986,"1,040","1,099","1,185","1,293","1,363","1,416","1,553","1,701","1,785","1,890","2,037","2,197","2,330","2,483","2,689","2,888","3,032","3,193","3,363","3,585","3,875","4,093","4,202","4,287","4,331","4,433","4,496"
